FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.9982600892422139
0.0,0.18181818181818182,0.9947815603337099
0.0,0.2727272727272727,0.9930672588016934
0.0,0.36363636363636365,0.9899486204339756
0.01,0.36363636363636365,0.9860648355504463
0.01,0.45454545454545453,0.9747302376208166
0.01,0.5454545454545454,0.9728988867780541
0.01,0.6363636363636364,0.8286770024613032
0.02,0.6363636363636364,0.7394081628291088
0.02,0.7272727272727273,0.46359376853685497
0.03,0.7272727272727273,0.20059565635894602
0.03,0.8181818181818182,0.15616540342658602
0.04,0.8181818181818182,0.15371556161642944
0.05,0.8181818181818182,0.06676036378947604
0.06,0.8181818181818182,0.040261452479126415
0.07,0.8181818181818182,0.0350226265649255
0.08,0.8181818181818182,0.02727704604304648
0.09,0.8181818181818182,0.014058576608363967
0.1,0.8181818181818182,0.012995438898749321
0.11,0.8181818181818182,0.011579405036551537
0.12,0.8181818181818182,0.010347147392791686
0.13,0.8181818181818182,0.003653445663523344
0.13,0.9090909090909091,0.0034268480067869535
0.14,0.9090909090909091,0.0026158424471768678
0.15,0.9090909090909091,0.0025828071360568397
0.16,0.9090909090909091,0.0013189702280036178
0.16,1.0,0.0010587632386648157
0.17,1.0,0.0009863810349064123
0.18,1.0,0.000722442139745694
0.19,1.0,0.00043222534051778357
0.2,1.0,0.0003975911886660224
0.21,1.0,0.00037775054758864673
0.22,1.0,0.0001599565742345955
0.23,1.0,0.000159045292776024
0.24,1.0,0.00014062344462801142
0.25,1.0,0.00013652261010022726
0.26,1.0,3.772487946092382e-05
0.27,1.0,3.3283917719167525e-05
0.28,1.0,2.9720982737077415e-05
0.29,1.0,1.790827503144842e-05
0.3,1.0,1.4863560690608896e-05
0.31,1.0,3.449300197592781e-06
0.32,1.0,1.9562605096764664e-06
0.33,1.0,1.9308502099414933e-06
0.34,1.0,1.492453500193591e-06
0.35,1.0,1.3366450290113951e-06
0.36,1.0,1.3221693501247036e-06
0.37,1.0,8.763326537006676e-07
0.38,1.0,8.254970620710123e-07
0.39,1.0,4.971241338950469e-07
0.4,1.0,3.4581068810602095e-07
0.41,1.0,1.4974803933415906e-07
0.42,1.0,1.375533508531496e-07
0.43,1.0,1.285677872517462e-07
0.44,1.0,1.2411190088834079e-07
0.45,1.0,1.0478178813708671e-07
0.46,1.0,1.0332362814290062e-07
0.47,1.0,5.304521708935691e-08
0.48,1.0,4.271712872513531e-08
0.49,1.0,3.721096938972795e-08
0.5,1.0,3.641539342590159e-08
0.51,1.0,3.29636175963353e-08
0.52,1.0,2.8593761804813044e-08
0.53,1.0,2.8464570463345345e-08
0.54,1.0,2.492233516503503e-08
0.55,1.0,2.07410581791428e-08
0.56,1.0,1.608290333247156e-08
0.57,1.0,1.4088987144200112e-08
0.58,1.0,1.2508255415942656e-08
0.59,1.0,1.0697774308291597e-08
0.6,1.0,9.824070817120642e-09
0.61,1.0,8.062494314504036e-09
0.62,1.0,7.0071141287265734e-09
0.63,1.0,5.287344665256166e-09
0.64,1.0,5.2463232770221095e-09
0.65,1.0,4.005072507610073e-09
0.66,1.0,3.766836195493975e-09
0.67,1.0,3.6342573497384436e-09
0.68,1.0,3.407477103004373e-09
0.69,1.0,2.7806272080022078e-09
0.7,1.0,2.0547793373505423e-09
0.71,1.0,2.009075974200575e-09
0.72,1.0,2.000785552055765e-09
0.73,1.0,1.5505503104148103e-09
0.74,1.0,1.4063981539512419e-09
0.75,1.0,1.1729932889464555e-09
0.76,1.0,8.766167319200545e-10
0.77,1.0,8.748888525394423e-10
0.78,1.0,7.654150435081588e-10
0.79,1.0,6.596534572761582e-10
0.8,1.0,3.4861175396399403e-10
0.81,1.0,3.22724907940437e-10
0.82,1.0,3.063260620726493e-10
0.83,1.0,2.919960078161467e-10
0.84,1.0,2.680470095488315e-10
0.85,1.0,1.6811336131944914e-10
0.86,1.0,1.0833171526733382e-10
0.87,1.0,1.0456990189375267e-10
0.88,1.0,8.765218847706243e-11
0.89,1.0,4.222519156051053e-11
0.9,1.0,3.551062155882103e-11
0.91,1.0,2.933590619682112e-11
0.92,1.0,2.6456249001095854e-11
0.93,1.0,2.158469066568738e-11
0.94,1.0,1.720215317030385e-11
0.95,1.0,1.5564895261473486e-11
0.96,1.0,8.982357206178856e-12
0.97,1.0,3.588484308178094e-12
0.98,1.0,1.5606742267513048e-12
0.99,1.0,1.5103062173985497e-12
1.0,1.0,2.682258754835172e-13
1.0,1.0,0.0
1.0,1.0,0.0
