FPR,TPR,Threshold
0.0,0.0,1.0
0.0,0.0,1.0
0.0,0.09090909090909091,0.9984265642797018
0.0,0.18181818181818182,0.9977289618435463
0.0,0.2727272727272727,0.9957873408092436
0.0,0.36363636363636365,0.9942599219053244
0.01,0.36363636363636365,0.9815372426732594
0.01,0.45454545454545453,0.9786083052133188
0.01,0.5454545454545454,0.9307131155776174
0.02,0.5454545454545454,0.8747088598333335
0.02,0.6363636363636364,0.6014432790145644
0.02,0.7272727272727273,0.28739719411935183
0.02,0.8181818181818182,0.13170453109174274
0.03,0.8181818181818182,0.05914970867411536
0.04,0.8181818181818182,0.056610791533114733
0.05,0.8181818181818182,0.03261275821454009
0.05,0.9090909090909091,0.030264752408722263
0.06,0.9090909090909091,0.0286332093834219
0.07,0.9090909090909091,0.027259514971311422
0.08,0.9090909090909091,0.025065006117991305
0.09,0.9090909090909091,0.021691902353004663
0.1,0.9090909090909091,0.020470288283368575
0.11,0.9090909090909091,0.004418495842529147
0.12,0.9090909090909091,0.0040428830162271044
0.12,1.0,0.0031285109345976633
0.13,1.0,0.0018706029828894756
0.14,1.0,0.001407266157770403
0.15,1.0,0.0012051158249294426
0.16,1.0,0.0008654992085347059
0.17,1.0,0.0007190776246692419
0.18,1.0,0.0006942666945428712
0.19,1.0,0.00043849023726861544
0.2,1.0,0.0004250371039453839
0.21,1.0,0.0003890392082730522
0.22,1.0,0.000222630871206383
0.23,1.0,0.00011878623638213824
0.24,1.0,7.29487551745347e-05
0.25,1.0,5.716924523524242e-05
0.26,1.0,4.998738030425091e-05
0.27,1.0,3.907273648619402e-05
0.28,1.0,2.2152163960356835e-05
0.29,1.0,1.3996395102543792e-05
0.3,1.0,1.163385839768221e-05
0.31,1.0,6.575057870950856e-06
0.32,1.0,4.674324592789173e-06
0.33,1.0,4.136955003667824e-06
0.34,1.0,2.9475679138716654e-06
0.35,1.0,2.6525803165792397e-06
0.36,1.0,2.1017246021329903e-06
0.37,1.0,8.883578038736913e-07
0.38,1.0,7.633924473455485e-07
0.39,1.0,7.246544911134946e-07
0.4,1.0,4.816554084627406e-07
0.41,1.0,4.0378440136004873e-07
0.42,1.0,4.0240134258009173e-07
0.43,1.0,3.3861474171181333e-07
0.44,1.0,3.2584116230099595e-07
0.45,1.0,2.6107278390581574e-07
0.46,1.0,1.2260194823436634e-07
0.47,1.0,9.076636646319434e-08
0.48,1.0,7.918259773865823e-08
0.49,1.0,7.719167616945712e-08
0.5,1.0,7.171905645214084e-08
0.51,1.0,7.081919338537958e-08
0.52,1.0,6.418284075975176e-08
0.53,1.0,4.754432977991914e-08
0.54,1.0,4.727292329565133e-08
0.55,1.0,4.3484245060452863e-08
0.56,1.0,3.369806088834288e-08
0.57,1.0,2.9789367815208795e-08
0.58,1.0,2.7976120368067464e-08
0.59,1.0,2.643561551759123e-08
0.6,1.0,2.3929409583448024e-08
0.61,1.0,1.9780061108293833e-08
0.62,1.0,1.594091056536375e-08
0.63,1.0,1.3064201887525892e-08
0.64,1.0,1.1784216722911046e-08
0.65,1.0,1.1182475675359539e-08
0.66,1.0,1.0805683630249235e-08
0.67,1.0,7.322469299628457e-09
0.68,1.0,7.103738604738381e-09
0.69,1.0,6.657107951663345e-09
0.7,1.0,6.582252516951156e-09
0.71,1.0,5.775526434880241e-09
0.72,1.0,4.185107320172109e-09
0.73,1.0,3.2768986845162288e-09
0.74,1.0,2.904674471048567e-09
0.75,1.0,2.153439188392978e-09
0.76,1.0,2.1243268065997263e-09
0.77,1.0,2.086426841662016e-09
0.78,1.0,1.7048025894191806e-09
0.79,1.0,1.3030050464119807e-09
0.8,1.0,1.1932800635262692e-09
0.81,1.0,1.1308164398404078e-09
0.82,1.0,9.803931596010586e-10
0.83,1.0,8.023693448654932e-10
0.84,1.0,7.407446748089866e-10
0.85,1.0,4.758547291501264e-10
0.86,1.0,4.6448931232636394e-10
0.87,1.0,3.3872448695427703e-10
0.88,1.0,3.3869621260487183e-10
0.89,1.0,3.1867477699284345e-10
0.9,1.0,2.764825683537774e-10
0.91,1.0,2.6814855253790577e-10
0.92,1.0,1.9147712033791115e-10
0.93,1.0,1.537666494002801e-10
0.94,1.0,1.3639629093149132e-10
0.95,1.0,1.0910239280915542e-10
0.96,1.0,8.679928189363441e-11
0.97,1.0,5.206971124332995e-11
0.98,1.0,3.2014133339019686e-11
0.99,1.0,1.4336262060499364e-11
1.0,1.0,6.626948112816568e-12
1.0,1.0,0.0
1.0,1.0,0.0
