Feature,Importance
FT,0.06006006006006004
PTS,0.03003003003002998
FG,0.027027027027026973
MP,0.021021021021020953
3P,0.021021021021020953
3PA,0.018018018018017945
ORB,0.018018018018017945
2P,0.015015015015014973
3P%,0.015015015015014973
FG%.1,0.015015015015014935
FGA,0.015015015015014935
TOV,0.015015015015014935
FG%,0.009009009009008953
BLK,0.009009009009008917
Age,0.006006006006005944
GS,0.006006006006005944
TRB,0.003003003003002972
2P%,0.003003003003002972
2PA,0.003003003003002972
DRB,0.003003003003002972
STL,0.003003003003002972
G,0.0
eFG%,0.0
FT%,0.0
FTA,0.0
AST,0.0
PF,0.0
