learning_rate,hidden_neurons,momentum,test_accuracy,test_f1,auc_roc,model
0.001,5,0.8,0.972972972972973,0.8695652173913043,0.9945454545454545,<mlp.MLP object at 0x778baf063740>
0.001,5,0.9,0.954954954954955,0.761904761904762,0.99,<mlp.MLP object at 0x778baf063a40>
0.001,5,0.95,0.954954954954955,0.761904761904762,0.9718181818181818,<mlp.MLP object at 0x778baf063980>
0.001,10,0.8,0.9819819819819819,0.9166666666666666,0.9954545454545455,<mlp.MLP object at 0x778baf063680>
0.001,10,0.9,0.9819819819819819,0.9166666666666666,0.9945454545454545,<mlp.MLP object at 0x778baefeb290>
0.001,10,0.95,0.963963963963964,0.8181818181818182,0.9936363636363637,<mlp.MLP object at 0x778baef94320>
0.001,15,0.8,0.954954954954955,0.761904761904762,0.9945454545454545,<mlp.MLP object at 0x778bb0b196a0>
0.001,15,0.9,0.963963963963964,0.8181818181818182,0.9927272727272727,<mlp.MLP object at 0x778bb08eef00>
0.001,15,0.95,0.954954954954955,0.761904761904762,0.9881818181818182,<mlp.MLP object at 0x778baef776e0>
0.001,20,0.8,0.972972972972973,0.8695652173913043,0.9936363636363637,<mlp.MLP object at 0x778baef74e60>
0.001,20,0.9,0.972972972972973,0.8695652173913043,0.9927272727272727,<mlp.MLP object at 0x778baf4f1640>
0.001,20,0.95,0.954954954954955,0.761904761904762,0.9927272727272727,<mlp.MLP object at 0x778bd2609550>
0.01,5,0.8,0.9459459459459459,0.7000000000000001,0.9645454545454546,<mlp.MLP object at 0x778bd2609460>
0.01,5,0.9,0.9369369369369369,0.631578947368421,0.9645454545454546,<mlp.MLP object at 0x778baefbecc0>
0.01,5,0.95,0.9459459459459459,0.6666666666666665,0.969090909090909,<mlp.MLP object at 0x778bb00d2390>
0.01,10,0.8,0.9459459459459459,0.7000000000000001,0.9772727272727273,<mlp.MLP object at 0x778baefbc950>
0.01,10,0.9,0.9369369369369369,0.631578947368421,0.9736363636363636,<mlp.MLP object at 0x778baefbe9c0>
0.01,10,0.95,0.9459459459459459,0.6666666666666665,0.9790909090909091,<mlp.MLP object at 0x778baf4bd790>
0.01,15,0.8,0.9459459459459459,0.7000000000000001,0.9754545454545455,<mlp.MLP object at 0x778baf4bda30>
0.01,15,0.9,0.9459459459459459,0.7000000000000001,0.9754545454545455,<mlp.MLP object at 0x778baf4bd9a0>
0.01,15,0.95,0.9009009009009009,0.0,0.9336363636363637,<mlp.MLP object at 0x778baf4be270>
0.01,20,0.8,0.9009009009009009,0.0,0.9263636363636364,<mlp.MLP object at 0x778baf430aa0>
0.01,20,0.9,0.9009009009009009,0.0,0.8018181818181818,<mlp.MLP object at 0x778baf4334a0>
0.01,20,0.95,0.9009009009009009,0.0,0.8127272727272727,<mlp.MLP object at 0x778baf431700>
0.1,5,0.8,0.9009009009009009,0.0,0.12909090909090912,<mlp.MLP object at 0x778baf431220>
0.1,5,0.9,0.9009009009009009,0.0,0.09272727272727276,<mlp.MLP object at 0x778baf431670>
0.1,5,0.95,0.9009009009009009,0.0,0.05636363636363637,<mlp.MLP object at 0x778baf432930>
0.1,10,0.8,0.9009009009009009,0.0,0.020000000000000007,<mlp.MLP object at 0x778baeacc3e0>
0.1,10,0.9,0.9009009009009009,0.0,0.01272727272727274,<mlp.MLP object at 0x778baeace840>
0.1,10,0.95,0.9009009009009009,0.0,0.00818181818181819,<mlp.MLP object at 0x778baeacc3b0>
0.1,15,0.8,0.9009009009009009,0.0,0.04090909090909094,<mlp.MLP object at 0x778baeacd7f0>
0.1,15,0.9,0.9009009009009009,0.0,0.0745454545454545,<mlp.MLP object at 0x778baeacd280>
0.1,15,0.95,0.9009009009009009,0.0,0.175,<mlp.MLP object at 0x778baeacf7a0>
0.1,20,0.8,0.9009009009009009,0.0,0.18181818181818177,<mlp.MLP object at 0x778baeacf770>
0.1,20,0.9,0.9009009009009009,0.0,0.30999999999999994,<mlp.MLP object at 0x778baeacdb50>
0.1,20,0.95,0.9009009009009009,0.0,0.435,<mlp.MLP object at 0x778baeacf740>
