threshold,TP,FP,TN,FN,accuracy,precision,recall,f1_score,specificity,fpr
0.0,11,100,0,0,0.0990990990990991,0.0990990990990991,1.0,0.180327868852459,0.0,1.0
0.05,11,14,86,0,0.8738738738738738,0.44,1.0,0.6111111111111112,0.86,0.14
0.1,11,9,91,0,0.918918918918919,0.55,1.0,0.7096774193548387,0.91,0.09
0.15000000000000002,11,9,91,0,0.918918918918919,0.55,1.0,0.7096774193548387,0.91,0.09
0.2,11,7,93,0,0.9369369369369369,0.6111111111111112,1.0,0.7586206896551725,0.93,0.07
0.25,11,4,96,0,0.963963963963964,0.7333333333333333,1.0,0.846153846153846,0.96,0.04
0.30000000000000004,11,3,97,0,0.972972972972973,0.7857142857142857,1.0,0.88,0.97,0.03
0.35000000000000003,11,2,98,0,0.9819819819819819,0.8461538461538461,1.0,0.9166666666666666,0.98,0.02
0.4,11,2,98,0,0.9819819819819819,0.8461538461538461,1.0,0.9166666666666666,0.98,0.02
0.45,11,2,98,0,0.9819819819819819,0.8461538461538461,1.0,0.9166666666666666,0.98,0.02
0.5,11,2,98,0,0.9819819819819819,0.8461538461538461,1.0,0.9166666666666666,0.98,0.02
0.55,9,2,98,2,0.963963963963964,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.98,0.02
0.6000000000000001,9,2,98,2,0.963963963963964,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.98,0.02
0.65,8,1,99,3,0.963963963963964,0.8888888888888888,0.7272727272727273,0.7999999999999999,0.99,0.01
0.7000000000000001,7,1,99,4,0.954954954954955,0.875,0.6363636363636364,0.7368421052631579,0.99,0.01
0.75,7,0,100,4,0.963963963963964,1.0,0.6363636363636364,0.7777777777777778,1.0,0.0
0.8,7,0,100,4,0.963963963963964,1.0,0.6363636363636364,0.7777777777777778,1.0,0.0
0.8500000000000001,5,0,100,6,0.9459459459459459,1.0,0.45454545454545453,0.625,1.0,0.0
0.9,2,0,100,9,0.918918918918919,1.0,0.18181818181818182,0.3076923076923077,1.0,0.0
0.9500000000000001,0,0,100,11,0.9009009009009009,0.0,0.0,0.0,1.0,0.0
1.0,0,0,100,11,0.9009009009009009,0.0,0.0,0.0,1.0,0.0
